ano;tipo_atividade;titulo;data_inicio;data_fim;coordenador;area_tematica;situacao;tipo_projeto;bolsas_solicitadas;bolsas_concedidas;publico_interno;bolsas_edital;numero_edital;edital;municipio
2015;EVENTO;VIII Debate-treino da Sociedade de Debates - UFRN;2015-03-14;2015-03-14;LUCIANO ATHAYDE CHAVES;COMUNICAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;45;;;;
2015;EVENTO;VII (In)Justiça Penal: Construindo políticas públicas além dos muros do cárcere;2015-05-27;2015-05-27;FREDERICO DE OLIVEIRA HENRIQUES;DIREITOS HUMANOS E JUSTIÇA;CONCLUÍDA;EXTENSÃO;0;0;70;;;;
2015;EVENTO;"VIII OFICINA DE TREINAMENTO PARA O USO DO LIVRO SOBRE EDUCAÇÃO ALIMENTAR E NUTRICIONAL ""Oníria: Meio cozinheira, meio mágica"" - Promoção da alimentação adequada e saudável nas escolas Ensino Fundamental menor";2015-07-16;2015-07-16;LIANA GALVAO BACURAU PINHEIRO;SAÚDE;CONCLUÍDA;EXTENSÃO;0;0;8;;;;
2015;EVENTO;VII OFICINA DE PLANEJAMENTO DA ESCOLA DE SAÚDE/UFRN E II ENCONTRO PEDAGÓGICO DE AVALIAÇÃO DO PRONATEC/ESUFRN;2015-12-09;2015-12-11;EDILENE RODRIGUES DA SILVA;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;100;;;;
2015;EVENTO;"VII OFICINA DE TREINAMENTO PARA O USO DO LIVRO SOBRE EDUCAÇÃO ALIMENTAR E NUTRICIONAL ""Oníria: Meio cozinheira, meio mágica"" - Promoção da alimentação adequada e saudável nas escolas Ensino Fundamental menor";2015-07-15;2015-07-15;LIANA GALVAO BACURAU PINHEIRO;SAÚDE;CONCLUÍDA;EXTENSÃO;0;0;8;;;;
2015;EVENTO;"vii semana da licenciatura em dança 2015
as linguagens possíveis. o vocabulário em ação.
";2015-10-05;2015-10-09;MARCOS BRAGATO;CULTURA;CONCLUÍDA;EXTENSÃO;0;0;150;0;4;EDITAL 004 /2015 UFRN/PROGRAD/PPG/PROPESQ/PROEX SELEÇÃO PÚBLICA PARA APOIO A REALIZAÇÃO DE EVENTOS (EVENTOS INTEGRADOS SEGUNDO SEMESTRE).;
2015;EVENTO; VII Semana de Engenharia de Alimentos da Universidade Federal do Rio Grande do Norte (VII SEALIM - UFRN).;2015-10-26;2015-10-30;BEATRIZ DE CASSIA MARTINS SALOMAO;TECNOLOGIA E PRODUÇÃO;CONCLUÍDA;EXTENSÃO;0;0;200;0;4;EDITAL 004 /2015 UFRN/PROGRAD/PPG/PROPESQ/PROEX SELEÇÃO PÚBLICA PARA APOIO A REALIZAÇÃO DE EVENTOS (EVENTOS INTEGRADOS SEGUNDO SEMESTRE).;
2015;EVENTO;"VII Seminário Internacional do Grupo de Estudos Discurso & Gramática
";2015-11-17;2015-11-20;EDVALDO BALDUINO BISPO;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;53;0;4;EDITAL 004 /2015 UFRN/PROGRAD/PPG/PROPESQ/PROEX SELEÇÃO PÚBLICA PARA APOIO A REALIZAÇÃO DE EVENTOS (EVENTOS INTEGRADOS SEGUNDO SEMESTRE).;
2015;EVENTO;VII SEMINÁRIO PROJETAR 2015;2015-09-30;2015-10-02;MAISA FERNANDES DUTRA VELOSO;TECNOLOGIA E PRODUÇÃO;CONCLUÍDA;EXTENSÃO;0;0;100;0;4;EDITAL 004 /2015 UFRN/PROGRAD/PPG/PROPESQ/PROEX SELEÇÃO PÚBLICA PARA APOIO A REALIZAÇÃO DE EVENTOS (EVENTOS INTEGRADOS SEGUNDO SEMESTRE).;
2015;EVENTO;"VI OFICINA DE TREINAMENTO PARA O USO DO LIVRO SOBRE EDUCAÇÃO ALIMENTAR E NUTRICIONAL ""Oníria: Meio cozinheira, meio mágica"" - Promoção da alimentação adequada e saudável nas escolas Ensino Fundamental menor";2015-07-08;2015-07-08;LIANA GALVAO BACURAU PINHEIRO;SAÚDE;CONCLUÍDA;EXTENSÃO;0;0;8;;;;
